"Player Name","Season","RUATT","RUYD","RUTD","RECPT","REYD","RETD","FPTS"
"Jonathan Taylor","2020","232","1169","11","36","299","1","215"
"Tony Pollard","2021","0","0","0","0","0","0","0"
"Tony Pollard","2020","101","435","4","28","193","1","92"
"Tony Pollard","2019","86","455","2","15","107","1","73"
"Damien Williams","2021","0","0","0","0","0","0","0"
"Damien Williams","2020","0","0","0","0","0","0","0"
"Damien Williams","2019","111","498","5","30","213","2","110"
"Damien Williams","2018","50","256","4","23","160","2","75"
"Damien Williams","2017","46","181","0","20","155","1","39"
"Damien Williams","2016","35","115","3","23","249","3","69"
"Damien Williams","2015","16","59","0","21","142","1","23"
"Damien Williams","2014","36","122","0","21","187","1","36"
"Zack Moss","2021","0","0","0","0","0","0","0"
"Zack Moss","2020","112","481","4","14","95","1","87"
"Kareem Hunt","2021","0","0","0","0","0","0","0"
"Kareem Hunt","2020","198","841","6","38","304","5","180"
"Kareem Hunt","2019","43","179","2","37","285","1","63"
"Kareem Hunt","2018","181","824","7","26","378","7","203"
"Kareem Hunt","2017","272","1327","8","53","455","3","241"
"James Robinson","2021","0","0","0","0","0","0","0"
"James Robinson","2020","240","1070","7","49","344","3","201"
"Gus Edwards","2021","0","0","0","0","0","0","0"
"Gus Edwards","2020","144","723","6","9","129","0","118"
"Gus Edwards","2019","133","711","2","7","45","0","85"
"Gus Edwards","2018","137","718","2","2","20","0","87"
"Carlos Hyde","2021","0","0","0","0","0","0","0"
"Carlos Hyde","2020","81","356","4","16","93","0","68"
"Carlos Hyde","2019","245","1070","6","10","42","0","143"
"Carlos Hyde","2018","172","571","5","10","33","0","88"
"Carlos Hyde","2017","240","938","8","59","350","0","174"
"Carlos Hyde","2016","217","988","6","27","163","3","164"
"Carlos Hyde","2015","115","470","3","11","53","0","70"
"Carlos Hyde","2014","83","333","4","12","68","0","61"
